item,context,Q_nai,Q_ai,list,rc,mc,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,position_prop,exp1.response,exp2.response,position_prop2,pref.response,age_enter.text,gender_slider.response,lang_enter.text,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
,,,,,,,,,,,,,,,,,,,,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
,,,,,,,,,,,,,,,,,,,,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
,,,,,,,,,,,,,,,,,,,,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
t2,Emma said: Mary is looking for Peter and Donald.,about what food Peter likes,about where Peter is,2,,,0,0,0,0,,,,,"[[0, -0.08], [0, -0.25]]",0.6592592592592592,0.312037037037037,,,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
,,,,,,,,,,,,,,,,,,,,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
,,,,,,,,,,,,,,,,,,,,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
None,None,,,None,None,None,,,,,0,0,0,1,,,,"[[0, 0], [0, -0.1]]",None,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
t2,Emma said: Mary is looking for Peter and Donald.,,,2,"Peter, who is at the music store, likes pizza.","Peter, who likes pizza, is at the music store.",,,,,0,1,1,0,,,,"[[0, -0.1], [0, 0]]",None,,,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
,,,,,,,,,,,,,,,,,,,,,None,,935689,001,2023-08-09_11h28.11.912,aboutness,2022.2.5,60.018029416201266,
