participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,about_rate1.response,about_rate2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item_no,item_name,condition,list,context,person_maincl_Q,person_compl_Q,block,certainty_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,certainty_Q,age_enter.text,gender_slider.response,lang_enter.text
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,,,,,,,,,,,,,,,,,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,"[[0,-0.08],[0,-0.25]]",1,0.589814815,0,0,0,10,1,f4,filler,probl_sol_modal,2,Ronald said: I am writing an email to my boss. There is something about her that annoys me. She never allows me to make my own decisions.,about the boss,about Ronald,1,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,"[[0,-0.08],[0,-0.25]]",0.722222222,0.714814815,0,1,1,1,1,t6,discover1.1,nc,2,"George said: Randy was looking for our coworker Natalie. I didn't know where she was and so I couldn't help him. Later, I saw him leave the building.",about Randy,about Natalie,1,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,"[[0,-0.25],[0,-0.08]]",,0.65462963,0,2,2,11,1,f5,filler,probl_sol_rc,2,"Lisa said: On my way here, I got stuck in traffic. I was a bit impatient. I wasn't sure I would make it here on time. ",about the traffic,about Lisa,1,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,"[[0,-0.25],[0,-0.08]]",,0.766666667,0,3,3,8,1,f2,filler,reason_modal,2,Kevin said: I will meet my friend Carol tomorrow. We will go for dinner at her favorite restaurant. With this I want to thank her with all my heart.,about Carol,about Kevin,1,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,"[[0,-0.08],[0,-0.25]]",0.788888889,0.624074074,0,4,4,9,1,f3,filler,reason_rc,2,"Matt said: Yesterday, I went to a punk concert. I didn't particularly like the music and it was very crowded. But I absolutely admired the drummer.",about the drummer,about Matt,1,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,"[[0,-0.25],[0,-0.08]]",0.882407407,0.618518519,0,5,5,0,1,t7,aware1.2,c,2,Eleanor said: My friend Sam is a landscape architect. He just got fired from his job because he didn't keep his appointments and is generally irresponsible. Even his sister refused to hire him.,about the sister,about Sam,1,,,,,,,,,,
157628,001,2023-05-30_10h01.19.174,aboutness2,2022.2.5,Win32,60.08532116,"[[0,-0.08],[0,-0.25]]",0.750925926,0.418518519,0,6,6,3,1,t3,notice1.2,c,2,"Jimmy said: I'm out at the new Indian place with my friend Sally. She got her lamb masala, but not her side of rice. Just now, a server stopped by our table and then rushed into the kitchen.",about the server,about Sally,1,,,,,,,,,,
