participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,about_rate1.response,about_rate2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item_no,item_name,condition,list,context,person_maincl_Q,person_compl_Q,block,certainty_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,certainty_Q,age_enter.text,gender_slider.response,lang_enter.text
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.25],[0,-0.08]]",0.37109375,0.84375,0,0,0,1,1,t11,discover2.1,nc,4,"Lilly said: My brother has been with many women over the past years but he's never been able to commit to any of them. Recently, he received an email from one of these women. It really upset him, but he won’t tell me what the woman wrote to him about.",about Lilly's brother,about the woman,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.08],[0,-0.25]]",0.399739583,0.7421875,0,1,1,8,1,f2,filler,reason_modal,4,Kevin said: I will meet my friend Carol tomorrow. We will go for dinner at her favorite restaurant. With this I want to thank her with all my heart.,about Carol,about Kevin,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.08],[0,-0.25]]",0.32421875,0.91796875,0,2,2,4,1,t16,realize2.2,c,4,"Jimmy said: At the committee meeting yesterday, the chair started reading the names from the attendance sheet. There were over 100 names on the sheet. Then he suddenly stopped. It would have taken forever to read all the names.",about the commitee chair,about the list of names,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.08],[0,-0.25]]",0.240885417,0.783854167,0,3,3,7,1,f1,filler,exp_salt,4,"Jane said: When I came into the shed, my bicycle was blocked. I couldn't get it out quickly enough. So I set off on the scooter.",about the scooter,about Jane,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.25],[0,-0.08]]",0.2421875,0.868489583,0,4,4,10,1,f4,filler,probl_sol_modal,4,Ronald said: I am writing an email to my boss. There is something about her that annoys me. She never allows me to make my own decisions.,about the boss,about Ronald,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.08],[0,-0.25]]",0.84375,0.088541667,0,5,5,5,1,c1,filler,control,4,"Melody said: Last week, I went to see a movie with my friend Joy. I really liked the movie, but Joy was bothered by something.",about Joy,about Melody's nephew,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.25],[0,-0.08]]",0.759114583,0.302083333,0,6,6,3,1,t19,notice2.1,nc,4,"Emma said: I saw this cute, young couple at the park yesterday. They seemed to not know each other very well. At the end of their date, he tried to kiss her, but she pulled away. ",about the girl,about the guy,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.08],[0,-0.25]]",0.919270833,0.04296875,0,7,7,6,1,c2,filler,control,4,"Grace said: Last Sunday, I visited my grandma. She claimed that she's quit smoking again, but I doubt that she'll stick with it.",about Grace's grandma,about Grace's squirrel,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.08],[0,-0.25]]",0.880208333,0.212239583,0,8,8,0,1,t24,aware2.2,c,4,"Eleanor said: Our university was searching for a new dean of research. To our great surprise, somebody on the faculty suggested Ralph Hughes, who has no managerial skills and no relevant training. Thankfully, our university president shot down the idea immediately. ",about the university president,about Ralph Hughes,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.25],[0,-0.08]]",0.182291667,0.907552083,0,9,9,9,1,f3,filler,reason_rc,4,"Matt said: Yesterday, I went to a punk concert. I didn't particularly like the music and it was very crowded. But I absolutely admired the drummer.",about the drummer,about Matt,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.25],[0,-0.08]]",0.817708333,0.075520833,0,10,10,2,1,t27,know2.1,nc,4,"George said: The gas station across the street from my house was robbed early this morning. I didn't hear or see anything because I was still asleep when it happened. Apparently, some neighbors suspected a guy who always gets his gas there.",about the neighbors,about the guy,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,"[[0,-0.08],[0,-0.25]]",0.880208333,0.111979167,0,11,11,11,1,f5,filler,probl_sol_rc,4,"Lisa said: On my way here, I got stuck in traffic. I was a bit impatient. I wasn't sure I would make it here on time. ",about the traffic,about Lisa,1,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,t19,notice2.1,nc,4,"Emma said: I saw this cute, young couple at the park yesterday. They seemed to not know each other very well. At the end of their date, he tried to kiss her, but she pulled away. Perhaps she noticed that he had bad breath.",,,2,0.069010417,0,0,0,3,1,Is Emma certain that the guy had bad breath?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,f4,filler,probl_sol_modal,4,Ronald said: I am writing an email to my boss. There is something about her that annoys me. She never allows me to make my own decisions. She could at least make me responsible for one small project.,,,2,0.061197917,0,1,1,10,1,Is Ronald certain that his boss will make him responsible for one small project?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,f3,filler,reason_rc,4,"Matt said: Yesterday, I went to a punk concert. I didn't particularly like the music and it was very crowded. But I absolutely admired the drummer. I have never seen anybody who was this passionate on the drums.",,,2,0.888020833,0,2,2,9,1,Is Matt certain that the drummer is passionate on the drums?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,c2,filler,control,4,"Grace said: Last Sunday, I visited my grandma. She claimed that she's quit smoking again, but I doubt that she’ll stick with it. Last time she quit she had a cigarette three days later.",,,2,1,0,3,3,6,1,Is Grace certain that her grandmother has had a cigarette at some point in her life?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,c1,filler,control,4,"Melody said: Last week, I went to see a movie with my friend Joy. I really liked the movie, but Joy was bothered by something. I am not sure, but possibly she was annoyed by the film score.",,,2,0.256510417,0,4,4,5,1,Is Melody certain that Joy was annoyed by the film score?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,f1,filler,exp_salt,4,"Jane said: When I came into the shed, my bicycle was blocked. I couldn't get it out quickly enough. So I set off on the scooter. It was Anthony who parked in front of my bicycle.",,,2,0.94140625,0,5,5,7,1,Is Jane certain that nobody other than Anthony parked in front of her bicycle?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,f2,filler,reason_modal,4,Kevin said: I will meet my friend Carol tomorrow. We will go for dinner at her favorite restaurant. With this I want to thank her with all my heart. She might have saved my life when I was sick last week.,,,2,0.311197917,0,6,6,8,1,Is Kevin certain that Carol saved his life?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,t24,aware2.2,c,4,"Eleanor said: Our university was searching for a new dean of research. To our great surprise, somebody on the faculty suggested Ralph Hughes, who has no managerial skills and no relevant training. Thankfully, our university president shot down the idea immediately. Perhaps she was aware that he was a terrible administrator.",,,2,0.7109375,0,7,7,0,1,Is Eleanor certain that Ralph Hughes was a terrible administrator?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,f5,filler,probl_sol_rc,4,"Lisa said: On my way here, I got stuck in traffic. I was a bit impatient. I wasn't sure I would make it here on time. So I honked at the guy in front of me, who was not amused either.",,,2,0.764322917,0,8,8,11,1,Is Lisa certain that the guy in front of her was not amused?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,t27,know2.1,nc,4,"George said: The gas station across the street from my house was robbed early this morning. I didn't hear or see anything because I was still asleep when it happened. Apparently, some neighbors suspected a guy who always gets his gas there. Perhaps they knew that he had been at the crime scene.",,,2,0.298177083,0,9,9,2,1,Is George certain that the guy had been at the crime scene?,,,
736907,001,2023-05-30_10h07.15.366,aboutness4,2022.2.5,Win32,59.93048064,,,,,,,,,t16,realize2.2,c,4,"Jimmy said: At the committee meeting yesterday, the chair started reading the names from the attendance sheet. There were over 100 names on the sheet. Then he suddenly stopped. It would have taken forever to read all the names. Perhaps he realized that the list was too long.",,,2,0.69140625,0,10,10,4,1,Is Jimmy certain that the list was too long?,,,
