"participant";"item_no";"list";"condition";"exp";"cer";"pair";"verb";"item_name"
"006119";"t18";5;"c";0.764010417;1;"realize3";"realize";"realize3.2"
"006119";"t21";5;"nc";0.811102431;0.697842882;"notice3";"notice";"notice3.1"
"006119";"t29";5;"nc";0.125802951;0.332591146;"know3";"know";"know3.1"
"019312";"t12";3;"c";0.693518519;0.650925926;"discover2";"discover";"discover2.2"
"019312";"t28";3;"c";0.3;0.69537037;"know2";"know";"know2.2"
"027220";"t18";5;"c";0.766666667;1;"realize3";"realize";"realize3.2"
"027220";"t21";5;"nc";0.37962963;0.247222222;"notice3";"notice";"notice3.1"
"027220";"t29";5;"nc";0.012037037;0.409259259;"know3";"know";"know3.1"
"049261";"t16";4;"c";0.10555557;0.357407393;"realize2";"realize";"realize2.2"
"049261";"t19";4;"nc";0.213888875;0.042592614;"notice2";"notice";"notice2.1"
"049261";"t27";4;"nc";0.657407407;0.024074095;"know2";"know";"know2.1"
"071416";"t16";4;"c";0.5703125;0.126302083;"realize2";"realize";"realize2.2"
"071416";"t19";4;"nc";0.561197917;0.048177083;"notice2";"notice";"notice2.1"
"071416";"t27";4;"nc";0.734375;0.076822917;"know2";"know";"know2.1"
"091185";"t18";5;"c";1;0.886703703;"realize3";"realize";"realize3.2"
"091185";"t21";5;"nc";0;0;"notice3";"notice";"notice3.1"
"091185";"t29";5;"nc";0;0;"know3";"know";"know3.1"
"093201";"t16";4;"c";0.421296296;1;"realize2";"realize";"realize2.2"
"093201";"t19";4;"nc";0.751851894;0.342592593;"notice2";"notice";"notice2.1"
"093201";"t27";4;"nc";0.241666653;0.652777778;"know2";"know";"know2.1"
"121811";"t10";2;"nc";0.861640705;0.632871208;"know1";"know";"know1.1"
"121811";"t2";2;"nc";1;0;"realize1";"realize";"realize1.2"
"121811";"t3";2;"c";0.939052641;1;"notice1";"notice";"notice1.2"
"121811";"t6";2;"nc";0.780762565;0.064413669;"discover1";"discover";"discover1.1"
"121811";"t7";2;"c";0.889370341;1;"aware1";"aware";"aware1.2"
"124385";"t10";2;"nc";0.681193576;0.241662247;"know1";"know";"know1.1"
"124385";"t2";2;"nc";1;0.302754773;"realize1";"realize";"realize1.2"
"124385";"t3";2;"c";0.812521701;0.803983763;"notice1";"notice";"notice1.2"
"124385";"t6";2;"nc";1;0.242926934;"discover1";"discover";"discover1.1"
"124385";"t7";2;"c";0.679982639;0.668565397;"aware1";"aware";"aware1.2"
"126222";"t10";2;"nc";0.684259259;0;"know1";"know";"know1.1"
"126222";"t2";2;"nc";1;0;"realize1";"realize";"realize1.2"
"126222";"t3";2;"c";0.749074074;1;"notice1";"notice";"notice1.2"
"126222";"t6";2;"nc";0.664814815;0;"discover1";"discover";"discover1.1"
"126222";"t7";2;"c";1;1;"aware1";"aware";"aware1.2"
"134394";"t16";4;"c";0.029053276;0.498056159;"realize2";"realize";"realize2.2"
"134394";"t19";4;"nc";0.02766979;0.016601873;"notice2";"notice";"notice2.1"
"134394";"t27";4;"nc";0.731865829;0.017985363;"know2";"know";"know2.1"
"156978";"t14";6;"c";0.031761533;1;"discover3";"discover";"discover3.2"
"156978";"t17";6;"nc";0.659322297;0;"realize3";"realize";"realize3.1"
"156978";"t22";6;"c";0.540252976;0.605698165;"notice3";"notice";"notice3.2"
"156978";"t30";6;"c";0;1;"know3";"know";"know3.2"
