"participant";"age_enter.text";"gender_slider.response";"lang_enter.text"
"068497";54;1;"English"
"164966";47;1;"English"
"195078";31;1;"English"
"259265";32;2;"English"
"267925";20;1;"English"
"284133";41;2;"English"
"391125";63;1;NA
"557131";37;2;"english"
"582829";29;1;"english"
"644656";24;1;"english"
"690434";37;1;"English"
"794113";23;1;"English"
"952638";NA;1;"english"
"961928";20;2;"English, Vietnamese"
"965425";22;1;"English and Mandarin"
"121811";33;1;"english"
"124385";29;1;"English"
"126222";31;3;"English"
"268409";58;2;"english"
"277323";NA;1;"english"
"366064";25;1;"English"
"416361";23;1;"English"
"487406";41;1;"English "
"556524";39;1;"English"
"558544";25;2;"english"
"662729";27;1;"English"
"670791";34;1;"English"
"710221";68;2;"English"
"802713";31;2;"English"
"952334";31;4;"English"
"019312";40;2;"English"
"281030";65;2;"English"
"329601";55;2;"English"
"376593";30;2;"English"
"422844";80;1;"English"
"445151";68;1;"English"
"464315";22;1;"english"
"475841";35;2;"English"
"679954";44;2;"English"
"698633";55;NA;"English"
"710282";NA;1;"English"
"787827";52;1;"english"
"807252";54;1;"English"
"936068";30;2;"English"
"968841";41;2;"English"
"049261";63;1;"English"
"071416";25;2;"English"
"093201";40;2;"English"
"134394";37;3;"English"
"179889";53;1;"English"
"201370";29;1;"English"
"212833";53;2;"English"
"213631";21;1;"English"
"215415";40;2;"English"
"245544";23;2;"English"
"295465";31;2;"English"
"339997";37;2;"English"
"499712";27;1;"English"
"913089";48;2;"english"
"963417";41;1;"English"
"006119";20;1;"English"
"027220";39;1;"English"
"052308";25;2;"english "
"091185";36;2;"English"
"255208";33;1;"English"
"297586";41;1;"English"
"398454";38;1;"English"
"431508";35;2;"English"
"487008";32;1;"English"
"547640";31;1;"english"
"548106";22;1;"english"
"570897";41;2;"English"
"686169";35;2;"English"
"755538";22;2;"English"
"772669";29;2;"English"
"156978";51;1;"English"
"184643";46;1;"English"
"196007";25;2;"english"
"219849";35;1;"english"
"294405";18;1;"english"
"346209";28;2;"English"
"363777";19;2;"English"
"431644";28;1;"English"
"432276";30;2;"English"
"510921";31;1;"English"
"531728";49;1;"english"
"633649";33;1;"English"
"853020";44;1;"English"
"888388";38;2;"English"
"969988";24;1;"english"
