"participant";"item_no";"item_name";"list";"condition";"about1";"about2";"cer";"pair";"verb"
"003708";"t1";"realize1.1";1;"c";0.924444444;0.074444444;1;"realize1";"realize"
"003708";"t4";"notice1.1";1;"nc";0.884444444;0.204444444;0;"notice1";"notice"
"003708";"t5";"discover1.2";1;"c";0.821111111;0.175555556;1;"discover1";"discover"
"003708";"t8";"aware1.1";1;"nc";1;0;0.962222222;"aware1";"aware"
"003708";"t9";"know1.2";1;"c";1;0.275555556;0.503333333;"know1";"know"
"070539";"t13";"discover3.1";5;"nc";1;1;0.615740741;"discover3";"discover"
"070539";"t18";"realize3.2";5;"c";1;1;1;"realize3";"realize"
"070539";"t21";"notice3.1";5;"nc";1;0;0;"notice3";"notice"
"070539";"t26";"aware3.2";5;"c";0;1;0.823148148;"aware3";"aware"
"070539";"t29";"know3.1";5;"nc";1;0;0.762037037;"know3";"know"
"157628";"t10";"know1.1";2;"nc";0.9;0.544444444;0.267592593;"know1";"know"
"157628";"t2";"realize1.2";2;"nc";0.285185185;0.89537037;0.409259259;"realize1";"realize"
"157628";"t3";"notice1.2";2;"c";0.750925926;0.418518519;1;"notice1";"notice"
"157628";"t6";"discover1.1";2;"nc";0.722222222;0.714814815;0.377777778;"discover1";"discover"
"157628";"t7";"aware1.2";2;"c";0.618518519;0.882407407;0.74537037;"aware1";"aware"
"187893";"t14";"discover3.2";6;"c";0.222916667;0.792361111;0.834722222;"discover3";"discover"
"187893";"t17";"realize3.1";6;"nc";0.303472222;0.701388889;0.6;"realize3";"realize"
"187893";"t22";"notice3.2";6;"c";0.5;0.5;0.954166667;"notice3";"notice"
"187893";"t25";"aware3.1";6;"nc";0.384722222;0.6375;0.973611111;"aware3";"aware"
"187893";"t30";"know3.2";6;"c";0.215277778;0.767361111;1;"know3";"know"
"236500";"t11";"discover2.1";4;"nc";0.685833333;0.671935764;0.101354167;"discover2";"discover"
"236500";"t16";"realize2.2";4;"c";0.529817708;0.496883681;0.499796007;"realize2";"realize"
"236500";"t19";"notice2.1";4;"nc";1;1;0;"notice2";"notice"
"236500";"t24";"aware2.2";4;"c";0.871414931;0.850846354;0.495577257;"aware2";"aware"
"236500";"t27";"know2.1";4;"nc";0.296006944;1;0;"know2";"know"
"362108";"t10";"know1.1";2;"nc";0.158333355;0.237963005;0.68240745;"know1";"know"
"362108";"t2";"realize1.2";2;"nc";0.106481481;0.635185171;0.62037037;"realize1";"realize"
"362108";"t3";"notice1.2";2;"c";0.256481524;0.234259288;0.612963005;"notice1";"notice"
"362108";"t6";"discover1.1";2;"nc";1;0;0.564814815;"discover1";"discover"
"362108";"t7";"aware1.2";2;"c";0;1;0.913888861;"aware1";"aware"
"400560";"t14";"discover3.2";6;"c";1;1;0.094361979;"discover3";"discover"
