"participant";"age_enter.text";"gender_slider.response";"lang_enter.text"
"003708";55;1;"English"
"050813";19;2;"English"
"633600";46;1;"english"
"683716";23;1;"English "
"869568";26;2;"English"
"157628";52;1;"English"
"362108";37;2;"english"
"560421";19;2;"English"
"564396";37;1;"english"
"574313";25;3;"English"
"500658";34;2;"English"
"668544";44;2;"englis"
"719344";66;2;"english"
"835491";42;2;"English"
"946378";19;2;"English"
"236500";50;2;"english"
"507771";38;1;"English"
"519304";36;1;"English"
"581788";28;1;"English"
"736907";76;2;"English"
"070539";33;2;"English"
"413369";48;1;"English"
"732885";50;2;"english"
"813172";43;2;"English"
"942839";26;2;"English"
"187893";41;2;"English"
"400560";50;2;"english"
"553422";31;2;"English"
"613333";36;1;"English"
"952110";53;1;"English"
