"position_prop";"participant";"item_no";"item_name";"list";"condition";"about_rate1.response";"about_rate2.response";"certainty_rate.response";"about1";"about2"
"[[0,-0.08],[0,-0.25]]";"050813";"c1";"filler";1;"control";0.92314812;0;0.848148205;0.92314812;0
"[[0,-0.08],[0,-0.25]]";"050813";"c2";"filler";1;"control";0.911111196;0;1;0.911111196;0
"[[0,-0.25],[0,-0.08]]";"050813";"f1";"filler";1;"exp_salt";0.621296282;0.926851908;1;0.926851908;0.621296282
"[[0,-0.25],[0,-0.08]]";"050813";"f2";"filler";1;"reason_modal";0.369444459;0.79814812;0.609259288;0.79814812;0.369444459
"[[0,-0.25],[0,-0.08]]";"050813";"f3";"filler";1;"reason_rc";0.588888875;0.91851849;0.929629714;0.91851849;0.588888875
"[[0,-0.08],[0,-0.25]]";"050813";"f4";"filler";1;"probl_sol_modal";0.922222279;0.577777792;0.654629672;0.922222279;0.577777792
"[[0,-0.25],[0,-0.08]]";"050813";"f5";"filler";1;"probl_sol_rc";0.32685188;0.912963019;0.872222194;0.912963019;0.32685188
"[[0,-0.08],[0,-0.25]]";"050813";"t1";"realize1.1";1;"c";0.938888974;0.707407422;0.794444473;0.938888974;0.707407422
"[[0,-0.08],[0,-0.25]]";"050813";"t4";"notice1.1";1;"nc";0.98055564;0.591666681;0.712037051;0.98055564;0.591666681
"[[0,-0.25],[0,-0.08]]";"050813";"t5";"discover1.2";1;"c";0.266666695;0.915740826;0.573148162;0.915740826;0.266666695
"[[0,-0.25],[0,-0.08]]";"050813";"t8";"aware1.1";1;"nc";0.954629686;0.060185185;0.707407422;0.060185185;0.954629686
"[[0,-0.25],[0,-0.08]]";"050813";"t9";"know1.2";1;"c";0.678703732;0.880555612;0.858333305;0.880555612;0.678703732
"[[0,-0.25],[0,-0.08]]";"574313";"c1";"filler";2;"control";0.078867187;0.607825521;0.291901042;0.607825521;0.078867187
"[[0,-0.25],[0,-0.08]]";"574313";"c2";"filler";2;"control";NA;NA;1;0.5;0.5
"[[0,-0.25],[0,-0.08]]";"574313";"f1";"filler";2;"exp_salt";0.159409722;0.783237847;0.655425347;0.783237847;0.159409722
"[[0,-0.08],[0,-0.25]]";"574313";"f2";"filler";2;"reason_modal";0.719383681;0.643450521;0.553537326;0.719383681;0.643450521
"[[0,-0.08],[0,-0.25]]";"574313";"f3";"filler";2;"reason_rc";0.814383681;0.578897569;0.826132813;0.814383681;0.578897569
"[[0,-0.08],[0,-0.25]]";"574313";"f4";"filler";2;"probl_sol_modal";0.798072917;0.554717882;0.07797309;0.798072917;0.554717882
"[[0,-0.25],[0,-0.08]]";"574313";"f5";"filler";2;"probl_sol_rc";0.323836806;0.755759549;0.608211806;0.755759549;0.323836806
"[[0,-0.25],[0,-0.08]]";"574313";"t10";"know1.1";2;"nc";0.765642361;0.812230903;0.365963542;0.812230903;0.765642361
"[[0,-0.25],[0,-0.08]]";"574313";"t2";"realize1.2";2;"nc";0.70765625;0.314175347;0.213428819;0.314175347;0.70765625
"[[0,-0.08],[0,-0.25]]";"574313";"t3";"notice1.2";2;"c";0.800169271;0.347404514;0.859670139;0.800169271;0.347404514
"[[0,-0.25],[0,-0.08]]";"574313";"t6";"discover1.1";2;"nc";0.58624566;0.702712674;0.157352431;0.702712674;0.58624566
"[[0,-0.08],[0,-0.25]]";"574313";"t7";"aware1.2";2;"c";0.36921441;0.708815104;0.852083333;0.36921441;0.708815104
"[[0,-0.08],[0,-0.25]]";"668544";"c1";"filler";3;"control";0.803568341;0.195506066;0.836886845;0.803568341;0.195506066
"[[0,-0.08],[0,-0.25]]";"668544";"c2";"filler";3;"control";0.760994668;0.70453843;0.898896208;0.760994668;0.70453843
