participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,about_rate1.response,about_rate2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item_no,item_name,condition,list,context,person_maincl_Q,person_compl_Q,block,certainty_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,certainty_Q,age_enter.text,gender_slider.response,lang_enter.text
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,,,,,,,,,,,,,,,,,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,,,,,,,,,,,,,,,,,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,,,,,,,,,,,,,,,,,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,,,,,,,,,,,,,,,,,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.25],[0,-0.08]]",0.796875,0.338541667,0,0,0,11,1,f5,filler,probl_sol_rc,5,"Lisa said: On my way here, I got stuck in traffic. I was a bit impatient. I wasn't sure I would make it here on time. ",about the traffic,about Lisa,1,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.25],[0,-0.08]]",0.385416667,0.739583333,0,1,1,10,1,f4,filler,probl_sol_modal,5,Ronald said: I am writing an email to my boss. There is something about her that annoys me. She never allows me to make my own decisions.,about the boss,about Ronald,1,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.25],[0,-0.08]]",0.30859375,0.8671875,0,2,2,3,1,t21,notice3.1,nc,5,"Emma said: I went to visit my aunt at her halfway house yesterday. As I was chatting with her, I saw an employee talk sternly to one of the other female inmates. ",about employee,about Emma's aunt,1,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.08],[0,-0.25]]",0.528645833,0.53515625,0,3,3,1,1,t13,discover3.1,nc,5,"Lilly said: My neighbor Janet recently met a very nice man. They've been out several times and she seems very fond of him. But yesterday she came back from a date with him and was very angry, but she doesn't want to tell me why.",about Janet,about the man,1,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.25],[0,-0.08]]",0.919270833,0.220052083,0,4,4,0,1,t26,aware3.2,c,5,Eleanor said: My friend Sam is a hair dresser and he's trying to find a new salon to work in. The problem is that Sam's haircuts are terrible and customers often leave really negative feedback on his webpage. Even our friend Martha refused to hire him. ,about Martha,about Sam,1,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.25],[0,-0.08]]",0.227864583,0.915364583,0,5,5,2,1,t29,know3.1,nc,5,"George said: My co-worker and I are on a business trip right now. After I went to bed, my co-worker went to a topless bar. One of the dancers offered him a lap dance, but he supposedly refused.",about George's co-worker,about the dancer,1,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.08],[0,-0.25]]",0.994791667,0.0078125,0,6,6,5,1,c1,filler,control,5,"Melody said: Last week, I went to see a movie with my friend Joy. I really liked the movie, but Joy was bothered by something.",about Joy,about Melody's nephew,1,,,,,,,,,,
413369,001,2023-05-30_12h22.29.773,aboutness5,2022.2.5,Win32,58.83391187,"[[0,-0.25],[0,-0.08]]",0.516927083,0.671875,0,7,7,4,1,t18,realize3.2,c,5,"Jimmy said: Last night, my wife and I went out to dinner with our friends Mark and Sue. Sue has been seeing another man for many months, and Mark doesn't know. But when we ordered desserts, Mark suddenly got up, threw his drink in Sue's face and stormed off.",about Mark,about Sue,1,,,,,,,,,,
