"participant";"item";"list";"exp1";"exp2";"pref"
"141640";"t1";1;1;0;-1
"178060";"t1";1;0.875;0.151851852;-0.996296296
"220552";"t2";2;0.886875;0.004375;-0.99375
"302992";"t1";1;0.901851852;0.165740741;0.177777778
"304232";"t2";2;0.887963048;0.282407407;-0.937037009
"391597";"t2";2;0.92952691;0.097248264;-0.702144097
"427107";"t2";2;1;0;-0.724186704
"544175";"t1";1;1;0;-0.322916667
"578679";"t1";1;1;0.137609649;-1
"637449";"t1";1;0.982856988;0.02310591;0
"652691";"t2";2;0.5;0.5;-0.014246193
"674055";"t2";2;0.928072626;0.098463687;0.576815642
"736857";"t1";1;0.902968037;0.106164384;-0.949771689
"748600";"t2";2;0.975;0.019444444;-0.924074074
"816821";"t1";1;0.857407464;0.161111111;0.505555556
"850671";"t2";2;0.928873698;0;0.014317491
"893110";"t2";2;0.448148148;0.162037037;0.757407407
"956647";"t2";2;0.925;0.050925954;-1
"957435";"t1";1;0.89602322;0;-0.60304362
"982794";"t1";1;0.986734694;0.540816327;-0.826530612
