"participant";"item";"list";"condition";"exp1";"exp2";"continue"
"000776";"t1";1;"look_ai";0.978825005;0.218788181;0.587706841
"047787";"t4";4;"food_ai";0;0.856770833;0.333333333
"055065";"t1";1;"look_ai";0.865740741;0.339506173;0.316358025
"085203";"t4";4;"food_ai";0.149074074;0.942592593;0.64537037
"088448";"t3";3;"food_nai";0.127929688;0.912109375;0.340820313
"116443";"t1";1;"look_ai";0.994791667;0.231770833;0
"132666";"t3";3;"food_nai";0.251388889;0.733333333;0.125694444
"178165";"t4";4;"food_ai";0;1;0.705555556
"181992";"t4";4;"food_ai";0.304761905;0.66952381;0.555238095
"223650";"t4";4;"food_ai";0.011493773;1;0.623081372
"230630";"t1";1;"look_ai";1;0.175925926;0.178703704
"231313";"t2";2;"look_nai";0.00462963;0.014814836;0.003703718
"287187";"t4";4;"food_ai";0.17578125;0.90625;0.145833333
"383893";"t1";1;"look_ai";1;0;0
"416476";"t1";1;"look_ai";1;0;0
"434504";"t3";3;"food_nai";0.181550102;0.977833099;0.920558243
"502963";"t4";4;"food_ai";0.300249566;0.812811053;0.736621094
"558736";"t2";2;"look_nai";1;0.233333333;0.393055556
"563049";"t2";2;"look_nai";1;0;0.128703704
"581774";"t3";3;"food_nai";0;1;0.12890625
"587387";"t2";2;"look_nai";0.751630005;0.192497036;0.111692406
"599167";"t3";3;"food_nai";0.144761905;0.836190476;1
"623231";"t1";1;"look_ai";1;0.164735863;0.223820685
"632449";"t3";3;"food_nai";0.1;0.790740741;0.344444444
"645360";"t3";3;"food_nai";0;1;0.347222222
"678678";"t4";4;"food_ai";0;1;0.997395833
"692150";"t4";4;"food_ai";0;1;0.779735631
"697858";"t1";1;"look_ai";1;0.149305556;0.595833333
"717189";"t2";2;"look_nai";1;0;0
"718446";"t2";2;"look_nai";0.897222222;0.089814815;0.160185185
"794018";"t3";3;"food_nai";0.20462963;0.839814815;0.116666667
"810262";"t3";3;"food_nai";0;1;0
"833033";"t2";2;"look_nai";0.842592593;0.008333333;0.588888889
"838428";"t2";2;"look_nai";1;0.193031994;0.1915625
"845423";"t1";1;"look_ai";1;0;0.213541667
"882822";"t1";1;"look_ai";0.748697917;0.122395833;0.893229167
"920512";"t4";4;"food_ai";0.181481481;0.825925926;0.676851852
"927504";"t3";3;"food_nai";0;0.836449517;0.313778076
"954293";"t2";2;"look_nai";0.829166667;0.111805566;0.658333333
"967602";"t2";2;"look_nai";0.876851852;0.555555556;0.311111111
