participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,about_rate1.response,about_rate2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item,condition,context,Q_loc,Q_like,list,block,continue_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,continuation,age_enter.text,gender_slider.response,lang_enter.text
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,"[[0,-0.25],[0,-0.08]]",0.571296296,0.808333333,0,0,0,1,1,f1,filler,George said: My aunt admires Robbie Williams.,about why George's aunt admires Robbie Williams,about what Robbie Williams does,4,1,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,"[[0,-0.25],[0,-0.08]]",0,1,0,1,1,4,1,f4,filler,Alice said: My mom hates doing the laundry.,about what Alice's mom hates about doing the laundry,about what Alice's mom hates about squirrels,4,1,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,"[[0,-0.08],[0,-0.25]]",1,0,0,2,2,3,1,f3,filler,Randy said: Cindy is searching for a new job.,about what Cindy's skills are,about when Cindy gets up in the morning,4,1,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,"[[0,-0.08],[0,-0.25]]",0,1,0,3,3,0,1,t4,food_ai,Emma said: Mary is trying to guess Peter's favorite food.,about where Peter is,about what Peter likes,4,1,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,"[[0,-0.08],[0,-0.25]]",1,0.687962963,0,4,4,2,1,f2,filler,Eleanore said: Alex went to the movies yesterday.,about which movie Alex saw,about what Alex did after the movies,4,1,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,f3,filler,Randy said: Cindy is searching for a new job. She gets up every morning at 8.,,,4,2,0.112962963,0,0,0,3,1,She gets up every morning at 8.,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,f2,filler,Eleanore said: Alex went to the movies yesterday. It was a boring movie that he watched.,,,4,2,0.785185185,0,1,1,2,1,It was a boring movie that he watched.,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,t4,food_ai,"Emma said: Mary is trying to guess Peter's favorite food. Peter, who is at Susan’s house, likes pizza.",,,4,2,0.705555556,0,2,2,0,1,"Peter, who is at Susan’s house, likes pizza.",,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,f1,filler,George said: My aunt admires Robbie Williams. But my aunt likes his strong singing voice.,,,4,2,0.636111111,0,3,3,1,1,But my aunt likes his strong singing voice.,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,f4,filler,Alice said: My mom hates doing the laundry. What she loves doing is observing squirrels.,,,4,2,0.156481481,0,4,4,4,1,What she loves doing is observing squirrels.,,,
178165,001,2023-06-21_12h40.41.187,quick_pilot4,2022.2.5,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,36,1,English
